clock,name,existTime,row,col,absc,ord,state,eat,stateCd,frzCd,icedCd,
1,Zombie0,1,4,-1,816,390,0,0,706,498,1999,
1,Zombie1,1,1,-1,794,135,0,0,736,485,1999,
1,Zombie2,1,4,-1,784,390,0,0,628,535,1999,
1,Zombie3,1,4,-1,797,390,0,0,662,410,1999,
1,Zombie4,1,1,-1,805,135,0,0,452,429,1999,
2,Zombie0,2,4,-1,816,390,0,0,706,497,1998,
2,Zombie1,2,1,-1,794,135,0,0,736,484,1998,
2,Zombie2,2,4,-1,784,390,0,0,628,534,1998,
2,Zombie3,2,4,-1,797,390,0,0,662,409,1998,
2,Zombie4,2,1,-1,805,135,0,0,452,428,1998,
3,Zombie0,3,4,-1,816,390,0,0,706,496,1997,
3,Zombie1,3,1,-1,794,135,0,0,736,483,1997,
3,Zombie2,3,4,-1,784,390,0,0,628,533,1997,
3,Zombie3,3,4,-1,797,390,0,0,662,408,1997,
3,Zombie4,3,1,-1,805,135,0,0,452,427,1997,
4,Zombie0,4,4,-1,816,390,0,0,706,495,1996,
4,Zombie1,4,1,-1,794,135,0,0,736,482,1996,
4,Zombie2,4,4,-1,784,390,0,0,628,532,1996,
4,Zombie3,4,4,-1,797,390,0,0,662,407,1996,
4,Zombie4,4,1,-1,805,135,0,0,452,426,1996,
5,Zombie0,5,4,-1,816,390,0,0,706,494,1995,
5,Zombie1,5,1,-1,794,135,0,0,736,481,1995,
5,Zombie2,5,4,-1,784,390,0,0,628,531,1995,
5,Zombie3,5,4,-1,797,390,0,0,662,406,1995,
5,Zombie4,5,1,-1,805,135,0,0,452,425,1995,
6,Zombie0,6,4,-1,816,390,0,0,706,493,1994,
6,Zombie1,6,1,-1,794,135,0,0,736,480,1994,
6,Zombie2,6,4,-1,784,390,0,0,628,530,1994,
6,Zombie3,6,4,-1,797,390,0,0,662,405,1994,
6,Zombie4,6,1,-1,805,135,0,0,452,424,1994,
7,Zombie0,7,4,-1,816,390,0,0,706,492,1993,
7,Zombie1,7,1,-1,794,135,0,0,736,479,1993,
7,Zombie2,7,4,-1,784,390,0,0,628,529,1993,
7,Zombie3,7,4,-1,797,390,0,0,662,404,1993,
7,Zombie4,7,1,-1,805,135,0,0,452,423,1993,
8,Zombie0,8,4,-1,816,390,0,0,706,491,1992,
8,Zombie1,8,1,-1,794,135,0,0,736,478,1992,
8,Zombie2,8,4,-1,784,390,0,0,628,528,1992,
8,Zombie3,8,4,-1,797,390,0,0,662,403,1992,
8,Zombie4,8,1,-1,805,135,0,0,452,422,1992,
9,Zombie0,9,4,-1,816,390,0,0,706,490,1991,
9,Zombie1,9,1,-1,794,135,0,0,736,477,1991,
9,Zombie2,9,4,-1,784,390,0,0,628,527,1991,
9,Zombie3,9,4,-1,797,390,0,0,662,402,1991,
9,Zombie4,9,1,-1,805,135,0,0,452,421,1991,
10,Zombie0,10,4,-1,816,390,0,0,706,489,1990,
10,Zombie1,10,1,-1,794,135,0,0,736,476,1990,
10,Zombie2,10,4,-1,784,390,0,0,628,526,1990,
10,Zombie3,10,4,-1,797,390,0,0,662,401,1990,
10,Zombie4,10,1,-1,805,135,0,0,452,420,1990,
11,Zombie0,11,4,-1,816,390,0,0,706,488,1989,
11,Zombie1,11,1,-1,794,135,0,0,736,475,1989,
11,Zombie2,11,4,-1,784,390,0,0,628,525,1989,
11,Zombie3,11,4,-1,797,390,0,0,662,400,1989,
11,Zombie4,11,1,-1,805,135,0,0,452,419,1989,
12,Zombie0,12,4,-1,816,390,0,0,706,487,1988,
12,Zombie1,12,1,-1,794,135,0,0,736,474,1988,
12,Zombie2,12,4,-1,784,390,0,0,628,524,1988,
12,Zombie3,12,4,-1,797,390,0,0,662,399,1988,
12,Zombie4,12,1,-1,805,135,0,0,452,418,1988,
13,Zombie0,13,4,-1,816,390,0,0,706,486,1987,
13,Zombie1,13,1,-1,794,135,0,0,736,473,1987,
13,Zombie2,13,4,-1,784,390,0,0,628,523,1987,
13,Zombie3,13,4,-1,797,390,0,0,662,398,1987,
13,Zombie4,13,1,-1,805,135,0,0,452,417,1987,
14,Zombie0,14,4,-1,816,390,0,0,706,485,1986,
14,Zombie1,14,1,-1,794,135,0,0,736,472,1986,
14,Zombie2,14,4,-1,784,390,0,0,628,522,1986,
14,Zombie3,14,4,-1,797,390,0,0,662,397,1986,
14,Zombie4,14,1,-1,805,135,0,0,452,416,1986,
15,Zombie0,15,4,-1,816,390,0,0,706,484,1985,
15,Zombie1,15,1,-1,794,135,0,0,736,471,1985,
15,Zombie2,15,4,-1,784,390,0,0,628,521,1985,
15,Zombie3,15,4,-1,797,390,0,0,662,396,1985,
15,Zombie4,15,1,-1,805,135,0,0,452,415,1985,
16,Zombie0,16,4,-1,816,390,0,0,706,483,1984,
16,Zombie1,16,1,-1,794,135,0,0,736,470,1984,
16,Zombie2,16,4,-1,784,390,0,0,628,520,1984,
16,Zombie3,16,4,-1,797,390,0,0,662,395,1984,
16,Zombie4,16,1,-1,805,135,0,0,452,414,1984,
17,Zombie0,17,4,-1,816,390,0,0,706,482,1983,
17,Zombie1,17,1,-1,794,135,0,0,736,469,1983,
17,Zombie2,17,4,-1,784,390,0,0,628,519,1983,
17,Zombie3,17,4,-1,797,390,0,0,662,394,1983,
17,Zombie4,17,1,-1,805,135,0,0,452,413,1983,
18,Zombie0,18,4,-1,816,390,0,0,706,481,1982,
18,Zombie1,18,1,-1,794,135,0,0,736,468,1982,
18,Zombie2,18,4,-1,784,390,0,0,628,518,1982,
18,Zombie3,18,4,-1,797,390,0,0,662,393,1982,
18,Zombie4,18,1,-1,805,135,0,0,452,412,1982,
19,Zombie0,19,4,-1,816,390,0,0,706,480,1981,
19,Zombie1,19,1,-1,794,135,0,0,736,467,1981,
19,Zombie2,19,4,-1,784,390,0,0,628,517,1981,
19,Zombie3,19,4,-1,797,390,0,0,662,392,1981,
