time,POLE_VAULTING,FOOTBALL,ZOMBONI,JACK_IN_THE_BOX,BALLON,DIGGER,LADDER,CATAPULT,GARGANTUAAR,
0,870,780,800,780,780,780,780,825,845,
1,870,780,799.75,780,779.63,779.32,780,825,845,
2,870,780,799.5,780,779.26,778.64,780,825,845,
3,870,780,799.25,780,778.89,777.96,780,825,845,
4,870,780,799,780,778.52,777.28,780,825,845,
5,870,780,798.75,780,778.15,776.6,780,825,845,
6,870,780,798.5,780,777.78,775.92,780,825,845,
7,870,780,798.25,780,777.41,775.24,780,825,845,
8,870,780,798,780,777.04,774.56,780,825,845,
9,870,780,797.75,780,776.67,773.88,780,825,845,
10,870,780,797.5,780,776.3,773.2,780,825,845,
11,870,780,797.25,780,775.93,772.52,780,825,845,
12,870,780,797,780,775.56,771.84,780,825,845,
13,870,780,796.75,780,775.19,771.16,780,825,845,
14,870,780,796.5,780,774.82,770.48,780,825,845,
15,870,780,796.25,780,774.45,769.8,780,825,845,
16,870,780,796,780,774.08,769.12,780,825,845,
17,870,780,795.75,780,773.71,768.44,780,825,845,
18,870,780,795.5,780,773.34,767.76,780,825,845,
19,870,780,795.25,780,772.97,767.08,780,825,845,
20,870,780,795,780,772.6,766.4,780,825,845,
21,870,780,794.75,780,772.23,765.72,780,825,845,
22,870,780,794.5,780,771.86,765.04,780,825,845,
23,870,780,794.25,780,771.49,764.36,780,825,845,
24,870,780,794,780,771.12,763.68,780,825,845,
25,870,780,793.75,780,770.75,763,780,825,845,
26,870,780,793.5,780,770.38,762.32,780,825,845,
27,870,780,793.25,780,770.01,761.64,780,825,845,
28,870,780,793,780,769.64,760.96,780,825,845,
29,870,780,792.75,780,769.27,760.28,780,825,845,
30,870,780,792.5,780,768.9,759.6,780,825,845,
31,870,780,792.25,780,768.53,758.92,780,825,845,
32,870,780,792,780,768.16,758.24,780,825,845,
33,870,780,791.75,780,767.79,757.56,780,825,845,
34,870,780,791.5,780,767.42,756.88,780,825,845,
35,870,780,791.25,780,767.05,756.2,780,825,845,
