time,POLE_VAULTING,FOOTBALL,ZOMBONI,JACK_IN_THE_BOX,BALLON,DIGGER,LADDER,CATAPULT,GARGANTUAAR,
0,879,819,809,819,819,819,819,834,854,
1,879,819,808.75,819,818.908,818.34,819,834,854,
2,879,819,808.5,819,818.816,817.68,819,834,854,
3,879,819,808.25,819,818.724,817.02,819,834,854,
4,879,819,808,819,818.632,816.36,819,834,854,
5,879,819,807.75,819,818.54,815.7,819,834,854,
6,879,819,807.5,819,818.448,815.04,819,834,854,
7,879,819,807.25,819,818.356,814.38,819,834,854,
8,879,819,807,819,818.264,813.72,819,834,854,
9,879,819,806.75,819,818.172,813.06,819,834,854,
10,879,819,806.5,819,818.08,812.4,819,834,854,
11,879,819,806.25,819,817.988,811.74,819,834,854,
12,879,819,806,819,817.896,811.08,819,834,854,
13,879,819,805.75,819,817.804,810.42,819,834,854,
14,879,819,805.5,819,817.712,809.76,819,834,854,
15,879,819,805.25,819,817.62,809.1,819,834,854,
16,879,819,805,819,817.528,808.44,819,834,854,
17,879,819,804.75,819,817.436,807.78,819,834,854,
18,879,819,804.5,819,817.344,807.12,819,834,854,
19,879,819,804.25,819,817.252,806.461,819,834,854,
20,879,819,804,819,817.16,805.801,819,834,854,
21,879,819,803.75,819,817.068,805.141,819,834,854,
22,879,819,803.5,819,816.976,804.481,819,834,854,
23,879,819,803.25,819,816.884,803.821,819,834,854,
24,879,819,803,819,816.792,803.161,819,834,854,
25,879,819,802.75,819,816.701,802.501,819,834,854,
26,879,819,802.5,819,816.609,801.841,819,834,854,
27,879,819,802.25,819,816.517,801.181,819,834,854,
28,879,819,802,819,816.425,800.521,819,834,854,
29,879,819,801.75,819,816.333,799.861,819,834,854,
30,879,819,801.5,819,816.241,799.201,819,834,854,
31,879,819,801.25,819,816.149,798.541,819,834,854,
32,879,819,801,819,816.057,797.881,819,834,854,
33,879,819,800.75,819,815.965,797.221,819,834,854,
34,879,819,800.5,819,815.873,796.561,819,834,854,
35,879,819,800.25,819,815.781,795.901,819,834,854,
36,879,819,800,819,815.689,795.241,819,834,854,
37,879,819,799.75,819,815.597,794.581,819,834,854,
38,879,819,799.5,819,815.505,793.921,819,834,854,
39,879,819,799.25,819,815.413,793.261,819,834,854,
40,879,819,799,819,815.321,792.601,819,834,854,
